RAdeg,DEdeg
351.401,0.319
351.582,0.307
351.581,0.353
351.443,0.384
351.266,0.229
351.444,0.297
351.434,0.342
351.463,0.148
352.598,0.137
352.29,0.058
352.464,0.162
352.609,0.023
352.609,0.081
352.637,0.007
352.511,0.157
353.002,0.269
352.998,0.287
353.206,0.299
353.371,0.186
353.193,0.194
352.586,0.291
352.578,0.309
352.282,0.295
352.453,0.296
352.48,0.345
352.303,0.359
334.416,0.217
334.336,0.316
334.473,0.369
334.382,0.287
334.276,0.228
334.302,0.363
334.509,0.249
334.415,0.258
334.548,0.218
334.416,0.115
334.356,0.181
334.247,0.254
334.235,0.283
334.442,0.416
334.33,0.241
334.367,0.305
334.398,0.192
334.438,0.246
334.37,0.268
334.402,0.273
334.343,0.278
334.349,0.281
334.455,0.192
334.403,0.168
334.445,0.226
334.421,0.293
334.314,0.314
334.315,0.313
334.473,0.323
334.389,0.334
334.385,0.183
334.38,0.334
334.469,0.157
334.397,0.158
334.411,0.161
334.337,0.177
334.452,0.212
334.464,0.196
334.477,0.3
334.347,0.331
334.334,0.339
334.453,0.341
334.345,0.352
334.321,0.369
334.374,0.146
334.41,0.202
334.464,0.344
334.508,0.315
334.451,0.207
334.45,0.207
334.324,0.366
334.252,0.332
334.391,0.218
334.442,0.125
334.243,0.366
334.331,0.224
334.252,0.357
334.449,0.226
334.388,0.348
334.524,0.154
334.377,0.246
334.48,0.253
334.45,0.264
334.399,0.266
334.478,0.277
334.447,0.28
334.469,0.281
334.433,0.289
334.439,0.316
334.424,0.316
334.442,0.326
334.433,0.336
334.377,0.152
334.313,0.2
334.469,0.248
334.331,0.303
334.271,0.161
334.292,0.2
334.273,0.254
334.52,0.331
334.297,0.332
334.524,0.216
334.293,0.102
334.3,0.212
334.519,0.172
334.291,0.217
334.463,0.384
334.442,0.159
334.446,0.3
334.29,0.149
15.302,-0.36
15.273,-0.323
15.08,-0.401
15.219,-0.449
15.082,-0.385
15.22,-0.526
15.178,-0.571
15.054,-0.398
15.065,-0.357
15.219,-0.409
15.252,-0.4
15.267,-0.395
15.31,-0.379
323.39,-0.973
323.36,-0.76
323.426,-0.968
323.362,-0.828
323.318,-0.887
323.328,-0.944
323.324,-0.756
323.365,-0.811
323.354,-0.909
318.915,0.171
319.059,-0.178
318.726,-0.037
318.984,0.023
318.917,0.08
318.967,0.083
318.916,0.062
318.973,0.101
318.858,0.1
36.113,-0.04
36.134,0.035
36.267,-0.123
36.257,-0.057
36.077,0.032
36.21,-0.16
36.277,-0.06
35.981,-0.147
36.168,-0.061
36.067,0.017
36.019,0.085
36.39,-0.237
36.034,0.05
36.163,-0.027
36.257,-0.058
36.147,-0.025
36.128,-0.011
36.123,-0.006
36.154,-0.101
36.167,-0.069
349.664,0.617
349.612,0.64
349.599,0.668
349.653,0.511
349.68,0.554
349.586,0.507
349.563,0.605
349.606,0.62
349.653,0.656
349.579,0.677
349.676,0.511
349.753,0.598
349.592,0.524
349.733,0.639
349.537,0.651
349.53,0.662
349.541,0.664
349.535,0.663
349.554,0.682
349.749,0.7
349.587,0.549
349.656,0.562
349.872,0.599
349.514,0.705
349.715,0.757
349.61,0.551
349.616,0.575
349.781,0.801
349.585,0.525
349.504,0.794
349.816,0.767
349.7,0.584
349.756,0.716
349.641,0.514
349.697,0.596
349.602,0.602
349.653,0.61
352.991,0.463
